code,description,last_updated
F929,"Mixed disorder of conduct and emotions, unspecified",2025-09-12
F93,,2025-09-12
F930,Separation anxiety disorder of childhood,2025-09-12
F931,Phobic anxiety disorder of childhood,2025-09-12
F932,Social anxiety disorder of childhood,2025-09-12
F933,Sibling rivalry disorder,2025-09-12
F938,Other childhood emotional disorders,2025-09-12
F939,"Childhood emotional disorder, unspecified",2025-09-12
F94,,2025-09-12
F940,Elective mutism,2025-09-12
F941,Reactive attachment disorder of childhood,2025-09-12
F942,Disinhibited attachment disorder of childhood,2025-09-12
F948,Other childhood disorders of social functioning,2025-09-12
F949,"Childhood disorder of social functioning, unspecified",2025-09-12
F95,,2025-09-12
F950,Transient tic disorder,2025-09-12
F951,Chronic motor or vocal tic disorder,2025-09-12
F952,Combined vocal and multiple motor tic disorder [de la Tourette],2025-09-12
F958,Other tic disorders,2025-09-12
F959,"Tic disorder, unspecified",2025-09-12
F98,,2025-09-12
F980,Nonorganic enuresis,2025-09-12
F981,Nonorganic encopresis,2025-09-12
F982,Feeding disorder of infancy and childhood,2025-09-12
F983,Pica of infancy and childhood,2025-09-12
F984,Stereotyped movement disorders,2025-09-12
F985,Stuttering [stammering],2025-09-12
F986,Cluttering,2025-09-12
F988,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,2025-09-12
F989,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,2025-09-12
F99,,2025-09-12
G00,,2025-09-12
G000,Haemophilus meningitis,2025-09-12
G001,Pneumococcal meningitis,2025-09-12
G002,Streptococcal meningitis,2025-09-12
G003,Staphylococcal meningitis,2025-09-12
G008,Other bacterial meningitis,2025-09-12
G009,"Bacterial meningitis, unspecified",2025-09-12
G01,,2025-09-12
G02,,2025-09-12
G020,Meningitis in viral diseases classified elsewhere,2025-09-12
G021,Meningitis in mycoses,2025-09-12
G028,Meningitis in other specified infectious and parasitic diseases classified elsewhere,2025-09-12
G03,,2025-09-12
G030,Nonpyogenic meningitis,2025-09-12
G031,Chronic meningitis,2025-09-12
G032,Benign recurrent meningitis [Mollaret],2025-09-12
G038,Meningitis due to other specified causes,2025-09-12
G039,"Meningitis, unspecified",2025-09-12
G04,,2025-09-12
G040,Acute disseminated encephalitis,2025-09-12
G041,Human T-cell lymphotropic virus associated myelopathy,2025-09-12
G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",2025-09-12
G048,"Other encephalitis, myelitis and encephalomyelitis",2025-09-12
G049,"Encephalitis, myelitis and encephalomyelitis, unspecified",2025-09-12
G05,,2025-09-12
G050,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",2025-09-12
G051,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",2025-09-12
G052,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere",2025-09-12
G058,"Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere",2025-09-12
G06,,2025-09-12
G060,Intracranial abscess and granuloma,2025-09-12
G061,Intraspinal abscess and granuloma,2025-09-12
G062,"Extradural and subdural abscess, unspecified",2025-09-12
G07,,2025-09-12
G08,,2025-09-12
G09,,2025-09-12
G10,,2025-09-12
G11,,2025-09-12
G110,Congenital nonprogressive ataxia,2025-09-12
G111,Early-onset cerebellar ataxia,2025-09-12
G112,Late-onset cerebellar ataxia,2025-09-12
G113,Cerebellar ataxia with defective DNA repair,2025-09-12
G114,Hereditary spastic paraplegia,2025-09-12
G118,Other hereditary ataxias,2025-09-12
G119,"Hereditary ataxia, unspecified",2025-09-12
G12,,2025-09-12
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",2025-09-12
G121,Other inherited spinal muscular atrophy,2025-09-12
G122,Motor neuron disease,2025-09-12
G128,Other spinal muscular atrophies and related syndromes,2025-09-12
G129,"Spinal muscular atrophy, unspecified",2025-09-12
G13,,2025-09-12
G130,Paraneoplastic neuromyopathy and neuropathy,2025-09-12
G131,Other systemic atrophy primarily affecting central nervous system in neoplastic disease,2025-09-12
G132,Systemic atrophy primarily affecting central nervous system in myxoedema,2025-09-12
G138,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere,2025-09-12
G14,,2025-09-12
G20,,2025-09-12
G21,,2025-09-12
G210,Malignant neuroleptic syndrome,2025-09-12
G211,Other drug-induced secondary parkinsonism,2025-09-12
G212,Secondary parkinsonism due to other external agents,2025-09-12
G213,Postencephalitic parkinsonism,2025-09-12
G214,Vascular parkinsonism,2025-09-12
G218,Other secondary parkinsonism,2025-09-12
G219,"Secondary parkinsonism, unspecified",2025-09-12
G22,,2025-09-12
G23,,2025-09-12
G230,Hallervorden-Spatz disease,2025-09-12
G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],2025-09-12
G232,"Multiple system atrophy, parkinsonian type [MSA-P]",2025-09-12
G233,"Multiple system atrophy, cerebellar type [MSA-C]",2025-09-12
G238,Other specified degenerative diseases of basal ganglia,2025-09-12
G239,"Degenerative disease of basal ganglia, unspecified",2025-09-12
G24,,2025-09-12
G240,Drug-induced dystonia,2025-09-12
G241,Idiopathic familial dystonia,2025-09-12
G242,Idiopathic nonfamilial dystonia,2025-09-12
G243,Spasmodic torticollis,2025-09-12
G244,Idiopathic orofacial dystonia,2025-09-12
G245,Blepharospasm,2025-09-12
G248,Other dystonia,2025-09-12
G249,"Dystonia, unspecified",2025-09-12
G25,,2025-09-12
G250,Essential tremor,2025-09-12
G251,Drug-induced tremor,2025-09-12
G252,Other specified forms of tremor,2025-09-12
G253,Myoclonus,2025-09-12
G254,Drug-induced chorea,2025-09-12
G255,Other chorea,2025-09-12
G256,Drug-induced tics and other tics of organic origin,2025-09-12
G258,Other specified extrapyramidal and movement disorders,2025-09-12
G259,"Extrapyramidal and movement disorder, unspecified",2025-09-12
G26,,2025-09-12
G30,,2025-09-12
G300,Alzheimer disease with early onset,2025-09-12
G301,Alzheimer disease with late onset,2025-09-12
G308,Other Alzheimer disease,2025-09-12
G309,"Alzheimer disease, unspecified",2025-09-12
G31,,2025-09-12
G310,Circumscribed brain atrophy,2025-09-12
G311,"Senile degeneration of brain, not elsewhere classified",2025-09-12
G312,Degeneration of nervous system due to alcohol,2025-09-12
G318,Other specified degenerative diseases of nervous system,2025-09-12
G319,"Degenerative disease of nervous system, unspecified",2025-09-12
G32,,2025-09-12
G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere,2025-09-12
G328,Other specified degenerative disorders of nervous system in diseases classified elsewhere,2025-09-12
G35,,2025-09-12
G36,,2025-09-12
G360,Neuromyelitis optica [Devic],2025-09-12
G361,Acute and subacute haemorrhagic leukoencephalitis [Hurst],2025-09-12
G368,Other specified acute disseminated demyelination,2025-09-12
G369,"Acute disseminated demyelination, unspecified",2025-09-12
G37,,2025-09-12
G370,Diffuse sclerosis,2025-09-12
G371,Central demyelination of corpus callosum,2025-09-12
G372,Central pontine myelinolysis,2025-09-12
G373,Acute transverse myelitis in demyelinating disease of central nervous system,2025-09-12
G374,Subacute necrotizing myelitis,2025-09-12
G375,Concentric sclerosis [Baló],2025-09-12
G378,Other specified demyelinating diseases of central nervous system,2025-09-12
G379,"Demyelinating disease of central nervous system, unspecified",2025-09-12
G40,,2025-09-12
G400,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,2025-09-12
G401,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,2025-09-12
G402,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,2025-09-12
G403,Generalized idiopathic epilepsy and epileptic syndromes,2025-09-12
G404,Other generalized epilepsy and epileptic syndromes,2025-09-12
G405,Special epileptic syndromes,2025-09-12
G406,"Grand mal seizures, unspecified (with or without petit mal)",2025-09-12
G407,"Petit mal, unspecified, without grand mal seizures",2025-09-12
G408,Other epilepsy,2025-09-12
G409,"Epilepsy, unspecified",2025-09-12
G41,,2025-09-12
G410,Grand mal status epilepticus,2025-09-12
G411,Petit mal status epilepticus,2025-09-12
G412,Complex partial status epilepticus,2025-09-12
G418,Other status epilepticus,2025-09-12
G419,"Status epilepticus, unspecified",2025-09-12
G43,,2025-09-12
G430,Migraine without aura [common migraine],2025-09-12
G431,Migraine with aura [classical migraine],2025-09-12
G432,Status migrainosus,2025-09-12
G433,Complicated migraine,2025-09-12
G438,Other migraine,2025-09-12
G439,"Migraine, unspecified",2025-09-12
G44,,2025-09-12
G440,Cluster headache syndrome,2025-09-12
G441,"Vascular headache, not elsewhere classified",2025-09-12
G442,Tension-type headache,2025-09-12
G443,Chronic post-traumatic headache,2025-09-12
G444,"Drug-induced headache, not elsewhere classified",2025-09-12
G448,Other specified headache syndromes,2025-09-12
G45,,2025-09-12
G450,Vertebro-basilar artery syndrome,2025-09-12
G451,Carotid artery syndrome (hemispheric),2025-09-12
G452,Multiple and bilateral precerebral artery syndromes,2025-09-12
G453,Amaurosis fugax,2025-09-12
G454,Transient global amnesia,2025-09-12
G458,Other transient cerebral ischaemic attacks and related syndromes,2025-09-12
G459,"Transient cerebral ischaemic attack, unspecified",2025-09-12
G46,,2025-09-12
G460,Middle cerebral artery syndrome,2025-09-12
G461,Anterior cerebral artery syndrome,2025-09-12
G462,Posterior cerebral artery syndrome,2025-09-12
G463,Brain stem stroke syndrome,2025-09-12
G464,Cerebellar stroke syndrome,2025-09-12
G465,Pure motor lacunar syndrome,2025-09-12
G466,Pure sensory lacunar syndrome,2025-09-12
G467,Other lacunar syndromes,2025-09-12
G468,Other vascular syndromes of brain in cerebrovascular diseases,2025-09-12
G47,,2025-09-12
G470,Disorders of initiating and maintaining sleep [insomnias],2025-09-12
G471,Disorders of excessive somnolence [hypersomnias],2025-09-12
G472,Disorders of the sleep-wake schedule,2025-09-12
G473,Sleep apnoea,2025-09-12
G474,Narcolepsy and cataplexy,2025-09-12
G478,Other sleep disorders,2025-09-12
G479,"Sleep disorder, unspecified",2025-09-12
G50,,2025-09-12
G500,Trigeminal neuralgia,2025-09-12
G501,Atypical facial pain,2025-09-12
G508,Other disorders of trigeminal nerve,2025-09-12
G509,"Disorder of trigeminal nerve, unspecified",2025-09-12
G51,,2025-09-12
G510,Bell palsy,2025-09-12
G511,Geniculate ganglionitis,2025-09-12
G512,Melkersson syndrome,2025-09-12
G513,Clonic hemifacial spasm,2025-09-12
G514,Facial myokymia,2025-09-12
G518,Other disorders of facial nerve,2025-09-12
G519,"Disorder of facial nerve, unspecified",2025-09-12
G52,,2025-09-12
G520,Disorders of olfactory nerve,2025-09-12
G521,Disorders of glossopharyngeal nerve,2025-09-12
G522,Disorders of vagus nerve,2025-09-12
G523,Disorders of hypoglossal nerve,2025-09-12
G527,Disorders of multiple cranial nerves,2025-09-12
G528,Disorders of other specified cranial nerves,2025-09-12
G529,"Cranial nerve disorder, unspecified",2025-09-12
G53,,2025-09-12
G530,Postzoster neuralgia,2025-09-12
G531,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere,2025-09-12
G532,Multiple cranial nerve palsies in sarcoidosis,2025-09-12
G533,Multiple cranial nerve palsies in neoplastic disease,2025-09-12
G538,Other cranial nerve disorders in other diseases classified elsewhere,2025-09-12
G54,,2025-09-12
G540,Brachial plexus disorders,2025-09-12
G541,Lumbosacral plexus disorders,2025-09-12
G542,"Cervical root disorders, not elsewhere classified",2025-09-12
G543,"Thoracic root disorders, not elsewhere classified",2025-09-12
G544,"Lumbosacral root disorders, not elsewhere classified",2025-09-12
G545,Neuralgic amyotrophy,2025-09-12
G546,Phantom limb syndrome with pain,2025-09-12
G547,Phantom limb syndrome without pain,2025-09-12
G548,Other nerve root and plexus disorders,2025-09-12
G549,"Nerve root and plexus disorder, unspecified",2025-09-12
G55,,2025-09-12
G550,Nerve root and plexus compressions in neoplastic disease,2025-09-12
G551,Nerve root and plexus compressions in intervertebral disc disorders,2025-09-12
G552,Nerve root and plexus compressions in spondylosis,2025-09-12
G553,Nerve root and plexus compressions in other dorsopathies,2025-09-12
G558,Nerve root and plexus compressions in other diseases classified elsewhere,2025-09-12
G56,,2025-09-12
G560,Carpal tunnel syndrome,2025-09-12
G561,Other lesions of median nerve,2025-09-12
G562,Lesion of ulnar nerve,2025-09-12
G563,Lesion of radial nerve,2025-09-12
G568,Other mononeuropathies of upper limb,2025-09-12
G569,"Mononeuropathy of upper limb, unspecified",2025-09-12
G57,,2025-09-12
G570,Lesion of sciatic nerve,2025-09-12
G571,Meralgia paraesthetica,2025-09-12
G572,Lesion of femoral nerve,2025-09-12
G573,Lesion of lateral popliteal nerve,2025-09-12
G574,Lesion of medial popliteal nerve,2025-09-12
G575,Tarsal tunnel syndrome,2025-09-12
G576,Lesion of plantar nerve,2025-09-12
G578,Other mononeuropathies of lower limb,2025-09-12
G579,"Mononeuropathy of lower limb, unspecified",2025-09-12
G58,,2025-09-12
G580,Intercostal neuropathy,2025-09-12
G587,Mononeuritis multiplex,2025-09-12
G588,Other specified mononeuropathies,2025-09-12
G589,"Mononeuropathy, unspecified",2025-09-12
G59,,2025-09-12
G590,Diabetic mononeuropathy,2025-09-12
G598,Other mononeuropathies in diseases classified elsewhere,2025-09-12
G60,,2025-09-12
G600,Hereditary motor and sensory neuropathy,2025-09-12
G601,Refsum disease,2025-09-12
G602,Neuropathy in association with hereditary ataxia,2025-09-12
G603,Idiopathic progressive neuropathy,2025-09-12
G608,Other hereditary and idiopathic neuropathies,2025-09-12
G609,"Hereditary and idiopathic neuropathy, unspecified",2025-09-12
G61,,2025-09-12
G610,Guillain-Barré syndrome,2025-09-12
G611,Serum neuropathy,2025-09-12
G618,Other inflammatory polyneuropathies,2025-09-12
G619,"Inflammatory polyneuropathy, unspecified",2025-09-12
G62,,2025-09-12
G620,Drug-induced polyneuropathy,2025-09-12
G621,Alcoholic polyneuropathy,2025-09-12
G622,Polyneuropathy due to other toxic agents,2025-09-12
G628,Other specified polyneuropathies,2025-09-12
G629,"Polyneuropathy, unspecified",2025-09-12
G63,,2025-09-12
G630,Polyneuropathy in infectious and parasitic diseases classified elsewhere,2025-09-12
G631,Polyneuropathy in neoplastic disease,2025-09-12
G632,Diabetic polyneuropathy,2025-09-12
G633,Polyneuropathy in other endocrine and metabolic diseases,2025-09-12
G634,Polyneuropathy in nutritional deficiency,2025-09-12
G635,Polyneuropathy in systemic connective tissue disorders,2025-09-12
G636,Polyneuropathy in other musculoskeletal disorders,2025-09-12
G638,Polyneuropathy in other diseases classified elsewhere,2025-09-12
G64,,2025-09-12
G70,,2025-09-12
G700,Myasthenia gravis,2025-09-12
G701,Toxic myoneural disorders,2025-09-12
G702,Congenital and developmental myasthenia,2025-09-12
G708,Other specified myoneural disorders,2025-09-12
G709,"Myoneural disorder, unspecified",2025-09-12
G71,,2025-09-12
G710,Muscular dystrophy,2025-09-12
G711,Myotonic disorders,2025-09-12
G712,Congenital myopathies,2025-09-12
G713,"Mitochondrial myopathy, not elsewhere classified",2025-09-12
G718,Other primary disorders of muscles,2025-09-12
G719,"Primary disorder of muscle, unspecified",2025-09-12
G72,,2025-09-12
G720,Drug-induced myopathy,2025-09-12
G721,Alcoholic myopathy,2025-09-12
G722,Myopathy due to other toxic agents,2025-09-12
G723,Periodic paralysis,2025-09-12
G724,"Inflammatory myopathy, not elsewhere classified",2025-09-12
G728,Other specified myopathies,2025-09-12
G729,"Myopathy, unspecified",2025-09-12
G73,,2025-09-12
G730,Myasthenic syndromes in endocrine diseases,2025-09-12
G731,Lambert-Eaton syndrome,2025-09-12
G732,Other myasthenic syndromes in neoplastic disease,2025-09-12
G733,Myasthenic syndromes in other diseases classified elsewhere,2025-09-12
G734,Myopathy in infectious and parasitic diseases classified elsewhere,2025-09-12
G735,Myopathy in endocrine diseases,2025-09-12
G736,Myopathy in metabolic diseases,2025-09-12
G737,Myopathy in other diseases classified elsewhere,2025-09-12
G80,,2025-09-12
G800,Spastic quadriplegic cerebral palsy,2025-09-12
G801,Spastic diplegic cerebral palsy,2025-09-12
G802,Spastic hemiplegic cerebral palsy,2025-09-12
G803,Dyskinetic cerebral palsy,2025-09-12
G804,Ataxic cerebral palsy,2025-09-12
G808,Other cerebral palsy,2025-09-12
G809,"Cerebral palsy, unspecified",2025-09-12
G81,,2025-09-12
G810,Flaccid hemiplegia,2025-09-12
G811,Spastic hemiplegia,2025-09-12
G819,"Hemiplegia, unspecified",2025-09-12
G82,,2025-09-12
G820,Flaccid paraplegia,2025-09-12
G821,Spastic paraplegia,2025-09-12
G822,"Paraplegia, unspecified",2025-09-12
G823,Flaccid tetraplegia,2025-09-12
G824,Spastic tetraplegia,2025-09-12
G825,"Tetraplegia, unspecified",2025-09-12
G83,,2025-09-12
G830,Diplegia of upper limbs,2025-09-12
G831,Monoplegia of lower limb,2025-09-12
G832,Monoplegia of upper limb,2025-09-12
G833,"Monoplegia, unspecified",2025-09-12
G834,Cauda equina syndrome,2025-09-12
G835,Locked-in syndrome,2025-09-12
G836,Upper motor neuron facial paralysis,2025-09-12
G838,Other specified paralytic syndromes,2025-09-12
G839,"Paralytic syndrome, unspecified",2025-09-12
G90,,2025-09-12
G900,Idiopathic peripheral autonomic neuropathy,2025-09-12
G901,Familial dysautonomia [Riley-Day],2025-09-12
G902,Horner syndrome,2025-09-12
G904,Autonomic dysreflexia,2025-09-12
G905,Complex regional pain syndrome type I,2025-09-12
G906,Complex regional pain syndrome type II,2025-09-12
G907,"Complex regional pain syndrome, other and unspecified type",2025-09-12
G908,Other disorders of autonomic nervous system,2025-09-12
G909,"Disorder of autonomic nervous system, unspecified",2025-09-12
G91,,2025-09-12
G910,Communicating hydrocephalus,2025-09-12
G911,Obstructive hydrocephalus,2025-09-12
G912,Normal-pressure hydrocephalus,2025-09-12
G913,"Post-traumatic hydrocephalus, unspecified",2025-09-12
G918,Other hydrocephalus,2025-09-12
G919,"Hydrocephalus, unspecified",2025-09-12
G92,,2025-09-12
G93,,2025-09-12
G930,Cerebral cysts,2025-09-12
G931,"Anoxic brain damage, not elsewhere classified",2025-09-12
G932,Benign intracranial hypertension,2025-09-12
G933,Postviral fatigue syndrome,2025-09-12
G934,"Encephalopathy, unspecified",2025-09-12
G935,Compression of brain,2025-09-12
G936,Cerebral oedema,2025-09-12
G937,Reye syndrome,2025-09-12
G938,Other specified disorders of brain,2025-09-12
G939,"Disorder of brain, unspecified",2025-09-12
G94,,2025-09-12
G940,Hydrocephalus in infectious and parasitic diseases classified elsewhere,2025-09-12
G941,Hydrocephalus in neoplastic disease,2025-09-12
G942,Hydrocephalus in other diseases classified elsewhere,2025-09-12
G943,Encephalopathy in diseases classified elsewhere,2025-09-12
G948,Other specified disorders of brain in diseases classified elsewhere,2025-09-12
G95,,2025-09-12
G950,Syringomyelia and syringobulbia,2025-09-12
G951,Vascular myelopathies,2025-09-12
G952,"Cord compression, unspecified",2025-09-12
G958,Other specified diseases of spinal cord,2025-09-12
G959,"Disease of spinal cord, unspecified",2025-09-12
G96,,2025-09-12
G960,Cerebrospinal fluid leak,2025-09-12
G961,"Disorders of meninges, not elsewhere classified",2025-09-12
G968,Other specified disorders of central nervous system,2025-09-12
G969,"Disorder of central nervous system, unspecified",2025-09-12
G97,,2025-09-12
G970,Cerebrospinal fluid leak from spinal puncture,2025-09-12
G971,Other reaction to spinal and lumbar puncture,2025-09-12
G972,Intracranial hypotension following ventricular shunting,2025-09-12
G978,Other postprocedural disorders of nervous system,2025-09-12
G979,"Postprocedural disorder of nervous system, unspecified",2025-09-12
G98,,2025-09-12
G99,,2025-09-12
G990,Autonomic neuropathy in endocrine and metabolic diseases,2025-09-12
G991,Other disorders of autonomic nervous system in other diseases classified elsewhere,2025-09-12
G992,Myelopathy in diseases classified elsewhere,2025-09-12
G998,Other specified disorders of nervous system in diseases classified elsewhere,2025-09-12
H00,,2025-09-12
H000,Hordeolum and other deep inflammation of eyelid,2025-09-12
H001,Chalazion,2025-09-12
H01,,2025-09-12
H010,Blepharitis,2025-09-12
H011,Noninfectious dermatoses of eyelid,2025-09-12
H018,Other specified inflammation of eyelid,2025-09-12
H019,"Inflammation of eyelid, unspecified",2025-09-12
H02,,2025-09-12
H020,Entropion and trichiasis of eyelid,2025-09-12
H021,Ectropion of eyelid,2025-09-12
H022,Lagophthalmos,2025-09-12
H023,Blepharochalasis,2025-09-12
H024,Ptosis of eyelid,2025-09-12
H025,Other disorders affecting eyelid function,2025-09-12
H026,Xanthelasma of eyelid,2025-09-12
H027,Other degenerative disorders of eyelid and periocular area,2025-09-12
H028,Other specified disorders of eyelid,2025-09-12
H029,"Disorder of eyelid, unspecified",2025-09-12
H03,,2025-09-12
H030,Parasitic infestation of eyelid in diseases classified elsewhere,2025-09-12
H031,Involvement of eyelid in other infectious diseases classified elsewhere,2025-09-12
H038,Involvement of eyelid in other diseases classified elsewhere,2025-09-12
H04,,2025-09-12
H040,Dacryoadenitis,2025-09-12
H041,Other disorders of lacrimal gland,2025-09-12
H042,Epiphora,2025-09-12
H043,Acute and unspecified inflammation of lacrimal passages,2025-09-12
H044,Chronic inflammation of lacrimal passages,2025-09-12
H045,Stenosis and insufficiency of lacrimal passages,2025-09-12
H046,Other changes in lacrimal passages,2025-09-12
H048,Other disorders of lacrimal system,2025-09-12
H049,"Disorder of lacrimal system, unspecified",2025-09-12
H05,,2025-09-12
H050,Acute inflammation of orbit,2025-09-12
H051,Chronic inflammatory disorders of orbit,2025-09-12
H052,Exophthalmic conditions,2025-09-12
H053,Deformity of orbit,2025-09-12
H054,Enophthalmos,2025-09-12
H055,Retained (old) foreign body following penetrating wound of orbit,2025-09-12
H058,Other disorders of orbit,2025-09-12
H059,"Disorder of orbit, unspecified",2025-09-12
H06,,2025-09-12
H060,Disorders of lacrimal system in diseases classified elsewhere,2025-09-12
H061,Parasitic infestation of orbit in diseases classified elsewhere,2025-09-12
H062,Dysthyroid exophthalmos,2025-09-12
H063,Other disorders of orbit in diseases classified elsewhere,2025-09-12
H10,,2025-09-12
H100,Mucopurulent conjunctivitis,2025-09-12
H101,Acute atopic conjunctivitis,2025-09-12
H102,Other acute conjunctivitis,2025-09-12
H103,"Acute conjunctivitis, unspecified",2025-09-12
H104,Chronic conjunctivitis,2025-09-12
H105,Blepharoconjunctivitis,2025-09-12
H108,Other conjunctivitis,2025-09-12
H109,"Conjunctivitis, unspecified",2025-09-12
H11,,2025-09-12
H110,Pterygium,2025-09-12
H111,Conjunctival degenerations and deposits,2025-09-12
H112,Conjunctival scars,2025-09-12
H113,Conjunctival haemorrhage,2025-09-12
H114,Other conjunctival vascular disorders and cysts,2025-09-12
H118,Other specified disorders of conjunctiva,2025-09-12
H119,"Disorder of conjunctiva, unspecified",2025-09-12
H13,,2025-09-12
H130,Filarial infection of conjunctiva,2025-09-12
H131,Conjunctivitis in infectious and parasitic diseases classified elsewhere,2025-09-12
H132,Conjunctivitis in other diseases classified elsewhere,2025-09-12
H133,Ocular pemphigoid,2025-09-12
H138,Other disorders of conjunctiva in diseases classified elsewhere,2025-09-12
H15,,2025-09-12
H150,Scleritis,2025-09-12
H151,Episcleritis,2025-09-12
H158,Other disorders of sclera,2025-09-12
H159,"Disorder of sclera, unspecified",2025-09-12
H16,,2025-09-12
H160,Corneal ulcer,2025-09-12
H161,Other superficial keratitis without conjunctivitis,2025-09-12
H162,Keratoconjunctivitis,2025-09-12
H163,Interstitial and deep keratitis,2025-09-12
H164,Corneal neovascularization,2025-09-12
H168,Other keratitis,2025-09-12
H169,"Keratitis, unspecified",2025-09-12
H17,,2025-09-12
H170,Adherent leukoma,2025-09-12
H171,Other central corneal opacity,2025-09-12
H178,Other corneal scars and opacities,2025-09-12
H179,"Corneal scar and opacity, unspecified",2025-09-12
H18,,2025-09-12
H180,Corneal pigmentations and deposits,2025-09-12
H181,Bullous keratopathy,2025-09-12
H182,Other corneal oedema,2025-09-12
H183,Changes in corneal membranes,2025-09-12
H184,Corneal degeneration,2025-09-12
H185,Hereditary corneal dystrophies,2025-09-12
H186,Keratoconus,2025-09-12
H187,Other corneal deformities,2025-09-12
H188,Other specified disorders of cornea,2025-09-12
H189,"Disorder of cornea, unspecified",2025-09-12
H19,,2025-09-12
H190,Scleritis and episcleritis in diseases classified elsewhere,2025-09-12
H191,Herpesviral keratitis and keratoconjunctivitis,2025-09-12
H192,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,2025-09-12
H193,Keratitis and keratoconjunctivitis in other diseases classified elsewhere,2025-09-12
H198,Other disorders of sclera and cornea in diseases classified elsewhere,2025-09-12
H20,,2025-09-12
H200,Acute and subacute iridocyclitis,2025-09-12
H201,Chronic iridocyclitis,2025-09-12
H202,Lens-induced iridocyclitis,2025-09-12
H208,Other iridocyclitis,2025-09-12
H209,"Iridocyclitis, unspecified",2025-09-12
H21,,2025-09-12
H210,Hyphaema,2025-09-12
H211,Other vascular disorders of iris and ciliary body,2025-09-12
H212,Degeneration of iris and ciliary body,2025-09-12
H213,"Cyst of iris, ciliary body and anterior chamber",2025-09-12
H214,Pupillary membranes,2025-09-12
H215,Other adhesions and disruptions of iris and ciliary body,2025-09-12
H218,Other specified disorders of iris and ciliary body,2025-09-12
H219,"Disorder of iris and ciliary body, unspecified",2025-09-12
H22,,2025-09-12
H220,Iridocyclitis in infectious and parasitic diseases classified elsewhere,2025-09-12
H221,Iridocyclitis in other diseases classified elsewhere,2025-09-12
H228,Other disorders of iris and ciliary body in diseases classified elsewhere,2025-09-12
H25,,2025-09-12
H250,Senile incipient cataract,2025-09-12
H251,Senile nuclear cataract,2025-09-12
H252,"Senile cataract, morgagnian type",2025-09-12
H258,Other senile cataract,2025-09-12
H259,"Senile cataract, unspecified",2025-09-12
H26,,2025-09-12
H260,"Infantile, juvenile and presenile cataract",2025-09-12
H261,Traumatic cataract,2025-09-12
H262,Complicated cataract,2025-09-12
H263,Drug-induced cataract,2025-09-12
H264,After-cataract,2025-09-12
H268,Other specified cataract,2025-09-12
H269,"Cataract, unspecified",2025-09-12
H27,,2025-09-12
H270,Aphakia,2025-09-12
H271,Dislocation of lens,2025-09-12
H278,Other specified disorders of lens,2025-09-12
H279,"Disorder of lens, unspecified",2025-09-12
H28,,2025-09-12
H280,Diabetic cataract,2025-09-12
H281,"Cataract in other endocrine, nutritional and metabolic diseases",2025-09-12
H282,Cataract in other diseases classified elsewhere,2025-09-12
H288,Other disorders of lens in diseases classified elsewhere,2025-09-12
H30,,2025-09-12
H300,Focal chorioretinal inflammation,2025-09-12
H301,Disseminated chorioretinal inflammation,2025-09-12
H302,Posterior cyclitis,2025-09-12
H308,Other chorioretinal inflammations,2025-09-12
H309,"Chorioretinal inflammation, unspecified",2025-09-12
H31,,2025-09-12
H310,Chorioretinal scars,2025-09-12
H311,Choroidal degeneration,2025-09-12
H312,Hereditary choroidal dystrophy,2025-09-12
H313,Choroidal haemorrhage and rupture,2025-09-12
H314,Choroidal detachment,2025-09-12
H318,Other specified disorders of choroid,2025-09-12
H319,"Disorder of choroid, unspecified",2025-09-12
H32,,2025-09-12
H320,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere,2025-09-12
H328,Other chorioretinal disorders in diseases classified elsewhere,2025-09-12
H33,,2025-09-12
H330,Retinal detachment with retinal break,2025-09-12
H331,Retinoschisis and retinal cysts,2025-09-12
H332,Serous retinal detachment,2025-09-12
H333,Retinal breaks without detachment,2025-09-12
H334,Traction detachment of retina,2025-09-12
H335,Other retinal detachments,2025-09-12
H34,,2025-09-12
H340,Transient retinal artery occlusion,2025-09-12
H341,Central retinal artery occlusion,2025-09-12
H342,Other retinal artery occlusions,2025-09-12
H348,Other retinal vascular occlusions,2025-09-12
H349,"Retinal vascular occlusion, unspecified",2025-09-12
H35,,2025-09-12
H350,Background retinopathy and retinal vascular changes,2025-09-12
